Song,Artist,Link,Year,Month,Count/Month
Heart II Heart,Callus ,Zj7A6kKg1E0,2021,Sep,1
OUTTA MY MIND,Monsune ,j7CRINnxHAc,2021,Sep,5
Casio,Jungle ,02nFGcia31M,2021,Sep,4
Venus Flytrap,Feng Suave ,TBVETELcmv0,2021,Sep,3
Days Go By,Men I Trust ,iWAgyR_t6wg,2021,Sep,5
Left with a Gun,Skinshape ,lxLBuvFADhw,2021,Sep,1
Auburn,Brahny ,sVPzmG9qGLw,2021,Sep,1
Being so Normal,Peach Pit ,3jxiD3Up3mw,2021,Sep,3
My Kind of Woman,Mac DeMarco ,1_tjOgqG8Yc,2021,Sep,2
Cool with You,Her's ,0nCYgT-rVSo,2021,Sep,3
Sink into the Floor,Feng Suave ,hHGSd_hm8Zc,2021,Sep,4
Tadow (Extended Version),Masego ,qQiqweTbrHs,2021,Sep,4
My Love,maye ,n-_zxJu6Mzg,2021,Sep,10
Are You Bored Yet? (feat. Clairo),Wallows ,1kwj_X1PVDU,2021,Sep,8
Morning Sex,Ralph Castelli ,J6fpHwsUCHs,2021,Sep,10
Feel the Same,Battle Tapes ,SD07Y1Yfmnk,2021,Sep,1
Old Love / New Love (feat. D'Angelo Lacy),Twin Shadow ,Kjwub6SayeE,2021,Sep,1
Lose Yourself to Dance,Daft Punk ,iU7oF4OXZSE,2021,Sep,1
It's Late,A Beacon School ,jMjTOhqQ2Bs,2021,Sep,1
Stolen Dance,Milky Chance ,MRj9jXeN4ZY,2021,Sep,3
Daft Punk - Contact (Official Audio),DaftPunkVEVO,JI5noh4OyXc,2021,Sep,1
Daft Punk ft. Panda Bear - Doin' it Right (Official Audio),DaftPunkVEVO,LL-gyhZVvx0,2021,Sep,1
Daft Punk - Motherboard (Official Audio),DaftPunkVEVO,wz7YiQdNmZ8,2021,Sep,1
Daft Punk - Within (Official Audio),DaftPunkVEVO,cuj__JnGWLg,2021,Sep,1
Daft Punk - Giorgio by Moroder (Official Audio),DaftPunkVEVO,zhl-Cs1-sG4,2021,Sep,1
Daft Punk - The Game of Love (Official Audio),DaftPunkVEVO,ajGKWk0auOc,2021,Sep,1
Give Life Back to Music,Daft Punk ,zKSsP2084nU,2021,Sep,1
Veridis Quo,Daft Punk ,qe8Q7mjxjig,2021,Sep,2
Dancing,Mellow Fellow ,MaH_WX8CS7c,2021,Sep,6
affection,BETWEEN FRIENDS ,frPT7NLjipg,2021,Sep,3
